Taxon	Pathway	KOs present (%)	Species within present KOs (% all species in this taxon)	KOs total	Species total
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Odoribacteraceae	ko00740	11.9	100.0	42.0	1.0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus	ko00790	25.9	48.4	54.0	147.0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus	ko00760	19.1	48.46	89.0	147.0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus	ko00730	33.3	56.65	33.0	147.0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus	ko00830	6.2	33.33	48.0	147.0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus	ko00770	45.9	56.18	37.0	147.0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus	ko00780	26.1	65.42	23.0	147.0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus	ko00785	25.0	89.8	4.0	147.0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus	ko00750	21.7	54.83	23.0	147.0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus	ko00130	8.9	9.25	56.0	147.0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus	ko00740	23.8	33.67	42.0	147.0
k__Bacteria,p__Firmicutes,c__Erysipelotrichia	ko00790	20.4	31.82	54.0	6.0
k__Bacteria,p__Firmicutes,c__Erysipelotrichia	ko00760	19.1	42.16	89.0	6.0
k__Bacteria,p__Firmicutes,c__Erysipelotrichia	ko00730	27.3	66.67	33.0	6.0
k__Bacteria,p__Firmicutes,c__Erysipelotrichia	ko00830	0.0	0.0	48.0	6.0
k__Bacteria,p__Firmicutes,c__Erysipelotrichia	ko00770	45.9	46.08	37.0	6.0
k__Bacteria,p__Firmicutes,c__Erysipelotrichia	ko00780	17.4	62.5	23.0	6.0
k__Bacteria,p__Firmicutes,c__Erysipelotrichia	ko00785	25.0	50.0	4.0	6.0
k__Bacteria,p__Firmicutes,c__Erysipelotrichia	ko00750	17.4	29.17	23.0	6.0
k__Bacteria,p__Firmicutes,c__Erysipelotrichia	ko00130	8.9	16.67	56.0	6.0
k__Bacteria,p__Firmicutes,c__Erysipelotrichia	ko00740	14.3	33.33	42.0	6.0
k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae	ko00790	7.4	100.0	54.0	1.0
k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae	ko00760	6.7	100.0	89.0	1.0
k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae	ko00730	39.4	100.0	33.0	1.0
k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae	ko00830	0.0	0.0	48.0	1.0
k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae	ko00770	24.3	100.0	37.0	1.0
k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae	ko00780	4.3	100.0	23.0	1.0
k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae	ko00785	0.0	0.0	4.0	1.0
k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae	ko00750	8.7	100.0	23.0	1.0
